Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,area_comfort
420000.0,2.0,4667.0,5.0,18.0,2017.0,90.0,42.613882863340564,15.907786885245901,Саперне Поле,31.478330251413535
65000.0,2.0,1048.0,15.0,17.0,2018.0,62.0,34.0,12.0,Данченка,16.0
63000.0,3.0,1125.0,5.0,5.0,1965.0,56.0,42.0,6.0,Голосіївський,8.0
95000.0,1.0,2568.0,5.0,11.0,1967.0,37.0,22.0,7.0,Глибочицька,8.0
100000.0,2.0,1562.0,8.0,20.0,1996.3073852295408,64.0,31.0,18.0,Глибочицька,15.0
165000.0,4.0,1213.0,11.0,12.0,2019.0,136.0,100.0,30.0,Багговутівська,6.0
150000.0,3.0,2239.0,3.0,5.0,1917.0,67.0,42.0,15.907786885245901,Саксаганського,9.092213114754099
64000.0,2.0,914.0,7.0,25.0,1996.3073852295408,70.0,36.0,10.0,Моторний,24.0
295000.0,2.0,4275.0,5.0,15.0,2019.0,69.0,49.0,20.0,Саперне Поле,0.0
55000.0,1.0,965.0,10.0,25.0,2018.0,57.0,20.0,16.0,Вернадського,21.0
79900.0,3.0,1051.0,7.0,10.0,1997.0,76.0,40.0,12.0,Курбаса,24.0
100000.0,1.0,2273.0,3.0,11.0,2019.0,44.0,42.613882863340564,10.0,Багговутівська,8.613882863340564
122000.0,2.0,1679.0,4.0,9.0,1996.3073852295408,80.16498316498317,42.613882863340564,15.907786885245901,Набережно-Рибальська,21.643313416396705
145000.0,2.0,1933.0,4.0,4.0,1899.0,75.0,42.0,10.0,Саксаганського,23.0
133000.0,3.0,1385.0,20.0,25.0,2015.0,96.0,50.0,16.0,Малиновського,30.0
143000.0,3.0,1486.0,4.0,9.0,2011.0,80.16498316498317,40.0,30.0,Протасів Яр,10.16498316498317
62000.0,2.0,1378.0,2.0,5.0,1968.0,45.0,30.0,7.0,Німанська,8.0
95000.0,3.0,1397.0,3.0,9.0,1996.3073852295408,68.0,40.0,8.0,Підвисоцького,20.0
38000.0,1.0,1152.0,4.0,9.0,1970.0,33.0,17.0,8.0,Зодчих,8.0
52500.0,2.0,1050.0,9.0,9.0,1973.0,50.0,30.0,15.907786885245901,Рокосовського,4.092213114754099
229000.0,2.0,3181.0,5.0,6.0,1935.0,72.0,42.0,10.0,Шовковична,20.0
62000.0,1.0,1550.0,7.0,26.0,2017.0,40.0,17.0,11.0,Крушельницької,12.0
70000.0,2.0,1006.0,23.0,25.0,1996.3073852295408,80.16498316498317,42.613882863340564,15.907786885245901,Новопольова,21.643313416396705
45000.0,1.0,1125.0,11.0,26.0,1996.3073852295408,40.0,17.0,10.0,Визволителів,13.0
70000.0,3.0,875.0,5.0,6.0,1996.3073852295408,80.0,54.0,8.0,Сонячна,18.0
158000.0,2.0,2135.0,24.0,25.0,2014.0,74.0,38.0,15.0,Сікорського,21.0
58900.0,2.0,950.0,14.0,25.0,1996.3073852295408,62.0,42.613882863340564,12.0,Радченка,7.386117136659436
104700.0,1.0,2380.0,14.0,19.0,2020.0,44.0,18.0,11.0,Бульварно-Кудрявська,15.0
37000.0,1.0,925.0,11.0,25.0,1996.3073852295408,40.0,42.613882863340564,10.0,Кайсарова,12.613882863340564
46000.0,3.0,767.0,1.0,5.0,1965.0,60.0,40.0,8.0,Перова,12.0
150000.0,3.0,1500.0,4.0,25.0,2016.0,100.0,53.0,15.0,Глушкова,32.0
